Threshold,Sensitivity_Mean,Sensitivity_STD,Specificity_Mean,Specificity_STD,Accuracy_Mean,Accuracy_STD
0.0,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.01,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.02,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.03,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.04,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.05,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.06,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.07,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.08,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.09,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.1,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.11,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.12,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.13,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.14,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.15,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.16,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.17,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.18,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.19,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.2,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.21,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.22,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.23,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.24,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.25,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.26,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.27,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.28,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.29,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.3,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.31,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.32,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.33,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.34,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.35000000000000003,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.36,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.37,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.38,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.39,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.4,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.41000000000000003,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.42,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.43,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.44,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.45,0.99,0.0995485304256668,0.0,0.0,0.451625,0.17262396533624294
0.46,0.99,0.0995485304256668,0.15459285714285714,0.18130035769587724,0.5365,0.1727826781070772
0.47000000000000003,0.99,0.0995485304256668,0.15459285714285714,0.18130035769587724,0.5365,0.1727826781070772
0.48,0.99,0.0995485304256668,0.15459285714285714,0.18130035769587724,0.5365,0.1727826781070772
0.49,0.99,0.0995485304256668,0.3219416666666666,0.2342711918338218,0.6285,0.1676592067546832
0.5,0.5962095238095239,0.28131336111018956,0.3219416666666666,0.2342711918338218,0.449875,0.17482827088116867
0.51,0.39371666666666666,0.2833794909710708,0.3219416666666666,0.2342711918338218,0.356875,0.16713405747533377
0.52,0.39371666666666666,0.2833794909710708,0.6496107142857143,0.2473596554506539,0.536125,0.17542129861281672
0.53,0.0,0.0,0.8209130952380953,0.20415420679448804,0.451375,0.17551934769824215
0.54,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.55,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.56,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.5700000000000001,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.58,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.59,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.6,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.61,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.62,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.63,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.64,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.65,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.66,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.67,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.68,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.6900000000000001,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.7000000000000001,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.71,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.72,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.73,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.74,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.75,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.76,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.77,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.78,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.79,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.8,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.81,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.8200000000000001,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.8300000000000001,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.84,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.85,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.86,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.87,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.88,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.89,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.9,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.91,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.92,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.93,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.9400000000000001,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.9500000000000001,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.96,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.97,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.98,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
0.99,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
1.0,0.0,0.0,1.0,0.0,0.548375,0.17262396533624297
